method,file_path,runs,steps,mean_force_time_s,std_force_time_s,median_force_time_s,trimmed_mean_force_time_s,min_force_time_s,max_force_time_s,mean_step_time_s,std_step_time_s,mean_drift_time_s,mean_kick_time_s,speedup_vs_baseline,speedup_err,max_relative_energy_error,mean_cycles,mean_instructions,ipc,mean_l1_misses,mean_l2_misses,mean_vec_dp
Naive (1/sqrt),./experiments/rsqrt-impact/profilings/test-rsqrt/n_1.txt,1,10,7.589180499999999,0.00033080092200589277,7.5891275,7.58911975,7.588639,7.589745,7.589525500000001,0.0003429035578701211,0.00018125316100000001,0.00013108431,1.0,6.164343440589639e-05,4.354343e-08,32460179905.4,27500183220.3,0.8471974986104477,469379576.2,1089132.6,0.0
Rsqrt (1 iter),./experiments/rsqrt-impact/profilings/test-rsqrt/r_1.txt,1,10,4.0317516,0.0003986899045623577,4.031626,4.0316279999999995,4.031386,4.032792,4.0320876,0.0004212584005098314,0.00017925416899999998,0.00012980606,1.8823531935846445,0.0002034221874359821,4.735181e-06,17260311237.0,32500179661.0,1.8829428516521252,469257096.3,902818.0,0.0
Rsqrt (2 iter),./experiments/rsqrt-impact/profilings/test-rsqrt/r_2.txt,1,10,4.1325595,0.0040214155281441556,4.1314174999999995,4.13146725,4.128752,4.142719,4.1329473,0.00404628758369932,0.00020795258099999997,0.0001490633,1.8364358698283714,0.0017888373597711028,4.735181e-06,17258502332.9,32500179777.5,1.8831402140581275,469240492.7,1350197.9,0.0
Rsqrt (3 iter),./experiments/rsqrt-impact/profilings/test-rsqrt/r_3.txt,1,10,4.131865100000001,0.003118440425917955,4.1321385,4.131969,4.127614,4.135934,4.1322381,0.0031360331455518933,0.00020065596300000002,0.00014123916,1.8367445006856584,0.0013885552204150242,4.735181e-06,17259094496.5,32500179763.0,1.8830756022334059,469244249.5,1440420.2,0.0
Rsqrt+Third (1 iter),./experiments/rsqrt-impact/profilings/test-rsqrt/rt_1.txt,1,10,3.3171487999999996,0.00033837458533404735,3.317038,3.31703775,3.316709,3.317771,3.3175314,0.00035610481603031227,0.000222289855,0.00013107619999999998,2.287862546292768,0.00025379315119441386,4.735181e-06,14186966700.3,20015756822.1,1.4108552761794206,4033018990.8,30980361.4,0.0
Rsqrt+Third (2 iter),./experiments/rsqrt-impact/profilings/test-rsqrt/rt_2.txt,1,10,3.4300293,0.0028174752545496555,3.4286149999999997,3.429111,3.426899,3.436041,3.4304343000000004,0.00282068690392953,0.000242721825,0.00013450021,2.212570166674669,0.001819993936140001,4.735181e-06,14333322324.9,20015756944.6,1.3964492314408092,4001049738.6,30852265.6,0.0
Rsqrt+Third (3 iter),./experiments/rsqrt-impact/profilings/test-rsqrt/rt_3.txt,1,10,3.1797580000000005,0.0013116143488083405,3.1791785,3.1792337500000003,3.178605,3.183007,3.1802072999999997,0.0013085197782227937,0.0002784973,0.00013886812,2.3867163790451973,0.000989975060032081,4.735181e-06,13305895870.4,20015756702.7,1.5042772690884052,3862508407.9,23854648.3,0.0
