method,file_path,runs,steps,mean_force_time_s,std_force_time_s,median_force_time_s,trimmed_mean_force_time_s,min_force_time_s,max_force_time_s,mean_step_time_s,std_step_time_s,mean_drift_time_s,mean_kick_time_s,speedup_vs_baseline,speedup_err,max_relative_energy_error,mean_cycles,mean_instructions,ipc,mean_l1_misses,mean_l2_misses,mean_vec_dp
Naive AoS,./experiments/aos-soa/profilings/n-aos.txt,1,10,33.930541999999996,0.12245907641330683,33.8909,33.891305,33.88364,34.29775,33.930844,0.12245854908498754,0.00017877668,8.4597521e-05,1.0,0.005104053059316934,0.0,145025173282.3,249999934531.5,1.7238382059703559,12502581808.0,13868570.0,0.0
Naive SoA,./experiments/aos-soa/profilings/n-soa.txt,1,10,7.8501181,0.006874345837241363,7.8521090000000004,7.851971499999999,7.836245,7.858127,7.850557900000001,0.006879973930909978,0.00027113145,0.00013870244000000002,4.322297011047515,0.016052273667206133,0.0,32753657678.5,32504908479.9,0.9924054528186853,3753435319.5,9643214.8,0.0
ThirdLaw AoS,./experiments/aos-soa/profilings/t-aos.txt,1,10,17.655948000000002,0.01968002835363759,17.6507,17.65142,17.6243,17.68678,17.656418000000002,0.019702379450208488,0.0002124018,0.00022138570000000002,1.9217626830346346,0.007259101189986669,0.0,73644999650.7,135000768205.2,1.8331287778601655,6251142059.1,15264672.7,0.0
ThirdLaw SoA,./experiments/aos-soa/profilings/t-soa.txt,1,10,4.5766303,0.018767252654823995,4.569278499999999,4.5689075,4.565114,4.629498,4.5770609,0.018774057166473193,0.00025072497400000003,0.00015286308999999998,7.413869982025858,0.040499805710672784,0.0,19108337211.3,17514308139.9,0.9165793939172612,4000501084.1,43336169.0,0.0
