method,file_path,runs,steps,mean_force_time_s,std_force_time_s,median_force_time_s,trimmed_mean_force_time_s,min_force_time_s,max_force_time_s,mean_step_time_s,std_step_time_s,mean_drift_time_s,mean_kick_time_s,speedup_vs_baseline,speedup_err,max_relative_energy_error,mean_cycles,mean_instructions,ipc,mean_l1_misses,mean_l2_misses,mean_vec_dp
Naive,./experiments/kernel/profilings/n.txt,1,10,7.581859799999999,0.0004545390632278824,7.581675000000001,7.5817005,7.581452,7.583013,7.582204800000001,0.00047480096882809733,0.00018129162900000002,0.00013338810999999998,1.0,8.478332820731308e-05,4.354343e-08,32460350902.7,27500183213.0,0.8471930354490586,469342700.0,1227399.8,0.0
ThirdLaw,./experiments/kernel/profilings/t.txt,1,10,4.4033006,0.0003333014251395683,4.4033180000000005,4.4033185,4.402756,4.403882,4.403682399999999,0.0003467945212947487,0.00022080660099999997,0.00013192519,1.7218583260020903,0.00016626072555562824,4.354343e-08,18855179560.4,17514307957.5,0.9288857685706624,3964560292.8,41952071.4,0.0
Rsqrt,./experiments/kernel/profilings/r.txt,1,10,4.035087300000001,0.0006149710643598123,4.034918,4.034913250000001,4.034534,4.03682,4.035432200000001,0.000644316350871101,0.000180290451,0.00013440139000000002,1.8789828413377816,0.0003077270333816828,4.735181e-06,17261393108.2,32500179664.6,1.8828248369571534,469324843.8,988862.9,0.0
Blocks,./experiments/kernel/profilings/b.txt,1,10,7.640723599999999,0.07085320424539725,7.615893,7.616279250000001,7.61465,7.853056,7.641072599999999,0.07085080666753207,0.000184624458,0.00013417629,0.9922960437935485,0.009201854069357534,4.354343e-08,32600580655.7,31898509527.8,0.9784644594120979,34583735.5,401997.4,0.0
Rsqrt+Third,./experiments/kernel/profilings/rt.txt,1,10,3.1801542,0.0031016466529893583,3.1788665,3.1791929999999997,3.177139,3.186902,3.1806170000000002,0.00312815549485641,0.00028504459600000003,0.0001470833,2.384117034324939,0.0023296497146331288,4.735181e-06,13266428794.5,20015756710.0,1.5087524321766337,3862065698.8,23781709.8,0.0
Blocks+Third,./experiments/kernel/profilings/bt.txt,1,10,4.293531100000001,0.003467894936413235,4.2933935000000005,4.2931912500000005,4.289069,4.298593,4.2939921000000005,0.00347740772559106,0.000281077635,0.00014947569,1.7658797906459784,0.0014302286666010382,4.354343e-08,17943522235.1,20169888496.0,1.1240763230167221,59469346.0,1709609.8,0.0
Blocks+Rsqrt,./experiments/kernel/profilings/br.txt,1,10,4.408252399999999,0.0019000601674683869,4.407864,4.407786,4.406174,4.411519,4.4086334,0.0019088585175438615,0.00020408183600000002,0.00014720438999999997,1.7199241586076153,0.0007484641265759597,4.735181e-06,18408932856.0,37051843013.2,2.0127099872127427,33604840.6,370845.3,0.0
Blocks+Rsqrt+Third,./experiments/kernel/profilings/brt.txt,1,10,2.9432924,0.004230791230963733,2.9434430000000003,2.943472,2.937151,2.950353,2.9437403,0.004291284424272051,0.0002656944160000001,0.00014656726,2.5759791313972067,0.003706021357469696,4.735181e-06,12287836204.6,22975132824.5,1.8697460189043835,70750693.1,2026703.0,0.0
